permno,date,ticker,comnam,prc,ret
92322,2022-02-28,ULTA,ULTA BEAUTY INC,374.5,0.029582
92322,2022-03-31,ULTA,ULTA BEAUTY INC,398.22,0.063338
92322,2022-04-29,ULTA,ULTA BEAUTY INC,396.79999,-0.003566
92322,2022-05-31,ULTA,ULTA BEAUTY INC,423.10001,0.06628
92322,2022-06-30,ULTA,ULTA BEAUTY INC,385.48001,-0.088915
92322,2022-07-29,ULTA,ULTA BEAUTY INC,388.91,0.008898
92322,2022-08-31,ULTA,ULTA BEAUTY INC,419.87,0.079607
92322,2022-09-30,ULTA,ULTA BEAUTY INC,401.19,-0.04449
92322,2022-10-31,ULTA,ULTA BEAUTY INC,419.37,0.045315
92322,2022-11-30,ULTA,ULTA BEAUTY INC,464.84,0.108425
92322,2022-12-30,ULTA,ULTA BEAUTY INC,469.07001,0.0091
92322,2023-01-31,ULTA,ULTA BEAUTY INC,513.96002,0.0957
92322,2023-02-28,ULTA,ULTA BEAUTY INC,518.79999,0.009417
92322,2023-03-31,ULTA,ULTA BEAUTY INC,545.66998,0.051793
92322,2023-04-28,ULTA,ULTA BEAUTY INC,551.42999,0.010556
92322,2023-05-31,ULTA,ULTA BEAUTY INC,409.82999,-0.256787
92322,2023-06-30,ULTA,ULTA BEAUTY INC,470.595,0.148269
92322,2023-07-31,ULTA,ULTA BEAUTY INC,444.79999,-0.054814
92322,2023-08-31,ULTA,ULTA BEAUTY INC,415.03,-0.066929
92322,2023-09-29,ULTA,ULTA BEAUTY INC,399.45001,-0.037539
92322,2023-10-31,ULTA,ULTA BEAUTY INC,381.31,-0.045413
92322,2023-11-30,ULTA,ULTA BEAUTY INC,425.98999,0.117175
92322,2023-12-29,ULTA,ULTA BEAUTY INC,489.98999,0.150238
92322,2024-01-31,ULTA,ULTA BEAUTY INC,502.04999,0.024613
92322,2024-02-29,ULTA,ULTA BEAUTY INC,548.56,0.09264
92322,2024-03-28,ULTA,ULTA BEAUTY INC,522.88,-0.046814
92322,2024-04-30,ULTA,ULTA BEAUTY INC,404.84,-0.22575
92322,2024-05-31,ULTA,ULTA BEAUTY INC,395.09,-0.024084
92322,2024-06-28,ULTA,ULTA BEAUTY INC,385.87,-0.023337
92322,2024-07-31,ULTA,ULTA BEAUTY INC,364.89001,-0.054371
92322,2024-08-30,ULTA,ULTA BEAUTY INC,352.84,-0.033024
92322,2024-09-30,ULTA,ULTA BEAUTY INC,389.12,0.102823
92322,2024-10-31,ULTA,ULTA BEAUTY INC,368.98001,-0.051758
92322,2024-11-29,ULTA,ULTA BEAUTY INC,386.64001,0.047862
92322,2024-12-31,ULTA,ULTA BEAUTY INC,434.92999,0.124896
